allure_id;name;full_name;automated;description;precondition;expected_result;status;scenario;issue;tag;link;example;parameter;Lead;Owner;Tutors;Feature;Suite;Tester
365;Успешная авторизация через аккаунт Github;;false;;Зарегистрированный аккаунт в Github;Пользователь авторизован, выведено сообщение "Вход в систему выполнен через учетную записью Github.";Active;"1. Открыть https://runit.hexlet.ru/signin
2. Нажать кнопку ""Войти с помощью: GitHub""
	2.1. При необходимости ввести данные для входа в GitHub";;POSITIVE;;;;;ruslan.yakubov;;2.2. Возможность авторизации через GitHub;02. Авторизация;
366;Неуспешная авторизация по неверному email;;false;;Зарегистрированный по email и паролю аккаунт;Авторизация не происходит, отображается сообщение "Неверный логин или пароль";Active;"1. Открыть https://runit.hexlet.ru/signin
2. Ввести неверный email “gpt@kmail.tu”
3. Ввести верный пароль
4. Нажать кнопку ""Войти""";;NEGATIVE;;;;;ruslan.yakubov;;2.3. Невозможно авторизоваться по неверному email;02. Авторизация;
367;Неуспешная авторизация по неверному паролю;;false;;Зарегистрированный по email и паролю аккаунт;Авторизация не происходит, отображается сообщение "Неверный логин или пароль";Active;"1. Открыть https://runit.hexlet.ru/signin
2. Ввести верный зарегистрированный email
3. Ввести неверный пароль 
4. Нажать кнопку ""Войти""";;NEGATIVE;;;;;ruslan.yakubov;;2.4. Невозможно авторизоваться по неверному паролю;02. Авторизация;
368;Успешное восстановление пароля от аккаунта;;false;;Зарегистрированный по email и паролю аккаунт;Пользователь авторизован, отображается сообщение "Your password has been changed successfully. You are now signed in.";Draft;"1. Открыть https://runit.hexlet.ru/signin
2. Нажать кнопку ""Забыли пароль?""
3. Ввести зарегистрированный email
4. Нажать “send/отправить новый пароль
5. Восстановить пароль
	5.1. Открыть письмо “support hexlet.runit” для сброса пароля 
	5.2. Перейти по ссылке в письме для сброса пароля
	5.3. В поле ""New password"" ввести новый пароль
	5.4. В поле ""Confirm your password"" подтвердить новый пароль
	5.5. Нажать «Confirm»
	5.6. При необходимости заново залогиниться по новому паролю";;POSITIVE;;;;;ruslan.yakubov;;2.5. Возможность восстановить пароль;02. Авторизация;
369;Проверка функционирования флажка “Запомнить меня” при авторизации (поставить флажок);;false;;Имеется зарегистрированный по email и паролю аккаунт;Пользователь автоматически авторизован и перенаправлен на страницу своего профиля;Draft;"1. Открыть https://runit.hexlet.ru/login
2. Ввести email и пароль
3. Поставить флажок ""Запомнить меня""
4. Залогиниться
5. Закрыть текущую страницу браузера
6. Заново открыть вкладку https://runit.hexlet.ru/login";;POSITIVE;;;;;ruslan.yakubov;;2.6. Автоматическая авторизация при постановке флажка "Запомнить меня",Не реализовано;02. Авторизация;
370;Проверка функционирования флажка “Запомнить меня” при авторизации (убрать флажок);;false;;"Имеется зарегистрированный по email и паролю аккаунт.
Флажок “Запомнить меня” поставлен, авторизация происходит автоматически.";Автоматическая авторизация не происходит, штатно отображается страница авторизации;Draft;"1. Открыть https://runit.hexlet.ru/login
2. Разлогиниться
3. Заново ввести данные для входа
4. Убрать флажок “Запомнить меня”
5. Залогиниться
6. Закрыть текущую страницу браузера
7. Заново открыть вкладку https://runit.hexlet.ru/login";;POSITIVE;;;;;ruslan.yakubov;;2.7. Автоматическая авторизация не происходит, если убран флажок "Запомнить меня",Не реализовано;02. Авторизация;
430;Успешное изменение логина;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован";Логин изменился на новый и отображается корректно;Outdated;"1. Открыть https://runit.hexlet.ru/profile/snippets
2. Нажать кнопку ""Настройки""
3. Нажать кнопку ""Редактировать профиль""
4. Изменить логин на ""New_login""
5. Нажать на кнопку ""отправить""
6. Разлогиниться 
7. Залогиниться";;POSITIVE;;;;;ruslan.yakubov;;3.1. Возможность изменить логин;03. Пользовательские настройки;
431;Успешное создание нового сниппета;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован";Новый сниппет отображается на страничке профиля в окне "сниппеты";Outdated;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Нажать ""Новый сниппет""
3. Ввести ""New_Snippet1"" в поле ""Введите имя"" 
4. Нажать ""Сохранить""
5. Нажать ""Профиль""";;POSITIVE;;;;;ruslan.yakubov;;4.1. Возможность создания нового сниппета;04. Настройки сниппета;
432;Успешное переименование сниппета;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован
Наличие сохраненного сниппета";Новое имя сниппета сохранено и корректно отображается;Outdated;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Нажать кнопку настройки в окне сниппета ""...""
3. В выпадающем списке выбрать ""Переименовать""
4. Ввести новое имя ""New_Name1""
5. Нажать ""Сохранить""
6. Обновить страницу";;POSITIVE;;;;;ruslan.yakubov;;4.2. Возможность переименовать сниппет;04. Настройки сниппета;
433;Неуспешное создание сниппета с пустым именем;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован";Сниппет не создан, отображается сообщение "Поле не может быть пустым";Outdated;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Нажать ""Новый сниппет""
3. Сделать пустым поле ""введите имя""
4. Нажать ""Сохранить""";;NEGATIVE;;;;;ruslan.yakubov;;4.3. Невозможно создать сниппет без имени;04. Настройки сниппета;
434;Успешное удаление сниппета;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован
Наличие сохраненного сниппета";Сниппет успешно удален;Outdated;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Нажать кнопку настройки в окне сниппета ""...""
3. В выпадающем списке выбрать ""Удалить""
4. Подтвердить действие";;POSITIVE;;;;;ruslan.yakubov;;4.4. Возможность удалить сниппет;04. Настройки сниппета;
463;Неуспешное переименование сниппета на имя, состоящее из пустых символов;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован
Наличие сохраненного сниппета";Сниппет не переименован, отображается сообщение "Допустимы буквы латинского алфавита, цифры и символы "-_"";Outdated;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Нажать кнопку настройки в окне сниппета ""...""
3. В выпадающем списке выбрать ""Переименовать""
4. Ввести новое имя состоящее из пустых символов: ""     ""
5. Нажать ""Сохранить""";;NEGATIVE;;;;;ruslan.yakubov;;4.4. Имя Сниппета не должно состоять из пустых символов;04. Настройки сниппета;
464;Успешное открытие сниппета по полученной ссылке;;false;;"Наличие зарегистрированного аккаунта
Пользователь авторизован
Наличие сохраненного сниппета";Скопированная ссылка работает корректно и перенаправляет на соответствующий сниппет;Active;"1. В окне созданных сниппетов нажать на иконку ""поделится""
2. В открывшемся окне скопировать ссылку на сниппет
3. Открыть новую вкладку в браузере
4. Вставить скопированную ссылку 
5. Перейти по скопированной ссылке";;POSITIVE;;;;;ruslan.yakubov;;4.5. Возможность скопировать ссылку на сниппет;04. Настройки сниппета;
465;Неуспешное открытие удаленного сниппета по скопированной ссылке;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован
Наличие сохраненного сниппета";Открытие сниппета не удалось, отображается сообщение "данный сниппет удален";Active;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Скопировать ссылку на сниппет
	2.1. Нажать кнопку “Поделиться” в блоке сниппета
	2.2. Нажать кнопку ""скопировать ссылку""
3. Удалить данный сниппет
	3.1. Нажать кнопку настройки в блоке сниппета ""...""
	3.2. В выпадающем списке выбрать ""Удалить"" 
	3.3. Подтвердить действие
4. Перейти по скопированной ссылке на удаленный сниппет
	4.1. Открыть новую вкладку в браузере
	4.2. Вставить скопированную ссылку 
	4.3. Перейти по скопированной ссылке";;NEGATIVE;;;;;ruslan.yakubov;;4.6. Невозможно открыть удаленный сниппет;04. Настройки сниппета;
466;Успешная вставка на сайт скопированного кода сниппета через Iframe;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован
Наличие сохраненного сниппета
Наличие написанного кода в сохраненном сниппете";Iframe открывается, отображается корректно и кликабелен;Active;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Скопировать код для вставки
	2.1. Нажать кнопку “Поделиться” в блоке сниппета
	2.2. Перейти на вкладку ""код для вставки""
	2.3. Нажать кнопку ""скопировать код""
3. Загрузить и открыть скопированный iframe через браузер
	3.1. Открыть блокнот на рабочем столе
	3.2. Вставить в блокнот скопированный код
	3.3. Сохранить файл в формате .html
		3.3.1. Сохранить как ""имя"".html
		3.3.2. Кодировка UTF-8
	3.4. Открыть файл с помощью браузера";;POSITIVE;;;;;ruslan.yakubov;;4.7. Возможность копировать и вставлять код сниппета с помощью кнопки "Скопировать код";04. Настройки сниппета;
468;Неуспешный просмотр сниппета с ограниченным доступом другим пользователем;;false;;"Наличие зарегистрированного аккаунта
""Пользователь 1"" авторизован в ""браузере 1""
Наличие сохраненного сниппета
В ""браузере 2"" авторизация не выполнена/выполнена на другой аккаунт";Не удалось открыть сниппет по ссылке, отображается сообщение "пользователь ограничил доступ к просмотру данного сниппета";Draft;"1. Перейти на https://runit.hexlet.ru/profile/snippets ""в браузере 1""
2. Скопировать ссылку на сниппет
	2.1. Нажать кнопку “Поделиться” в блоке сниппета
	2.2. Во вкладке ссылка нажать на кнопку ""Скопировать ссылку""
3. Ограничить доступ к просмотру сниппета
	3.1. Нажать кнопку настройки в блоке сниппета ""...""
	3.2. В выпадающем списке выбрать ""настройки доступа""
	3.3. Нажать на кнопку ""ограничить доступ""
	3.4. Подтвердить действие кнопкой ""Сохранить""
4. Перейти по скопированной ссылке на  сниппет в ""браузере 2""
	4.1. Открыть  адресную строку ""браузера 2""
	4.2. Вставить скопированную ссылку 
	4.3. Перейти по скопированной ссылке";;NEGATIVE;;;;;ruslan.yakubov;;4.9. Невозможно просмотреть сниппет, если доступ на него ограничен пользователем,Не реализовано;04. Настройки сниппета;
496;Возможность ограничить доступ к редактированию сниппета для других пользователей;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован
Наличие сохраненного сниппета";Пользователь ограничил доступ к редактированию  сниппета;Draft;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Ограничить доступ к редактированию сниппета
	2.1. Нажать кнопку настройки в блоке сниппета ""...""
	2.2. В выпадающем списке выбрать ""настройки доступа""
	2.3. Поставить флажок ""только чтение""
	2.4. Подтвердить действие кнопкой ""Сохранить""";;POSITIVE;;;;;ruslan.yakubov;;4.10. Возможность ограничить доступ к редактированию сниппета другим пользователям,Не реализовано;04. Настройки сниппета;
497;Неуспешное редактирование сниппета с ограниченным доступом другим пользователем;;false;;"Наличие двух зарегистрированных аккаунтов
""Аккаунт 1"" авторизован в ""браузере 1""
Наличие сохраненного сниппета
В ""браузере 2"" выполнена авторизация на ""аккаунт 2""";Не удалось внести изменения в сниппет, отображается сообщение "Только для чтения";Draft;"1. Перейти на https://runit.hexlet.ru/profile/snippets ""в браузере 1""
2. Скопировать ссылку на сниппет
	2.1. Нажать кнопку ""Поделиться"" в блоке сниппета
	2.2. Во вкладке ссылка нажать кнопку ""Скопировать ссылку""
3. Ограничить доступ к редактированию сниппета
	3.1. Нажать кнопку настройки в блоке сниппета ""...""
	3.2. В выпадающем списке выбрать ""настройки доступа""
	3.3. Поставить флажок ""только чтение""
	3.4. Подтвердить действие кнопкой ""Сохранить""
4. Перейти по скопированной ссылке на  сниппет в ""браузере 2""
	4.1. Открыть  адресную строку ""браузера 2""
	4.2. Вставить скопированную ссылку 
	4.3. Перейти по скопированной ссылке
5. Произвести любые изменения в сниппете";;NEGATIVE;;;;;ruslan.yakubov;;4.11. Невозможно вносить изменения в сниппет, опубликованный только для чтения,Не реализовано;04. Настройки сниппета;
498;Успешное редактирование опубликованного сниппета другим пользователем;;false;;"Наличие двух зарегистрированных аккаунтов
""Пользователь 1"" авторизован в ""браузере 1""
Наличие сохраненного сниппета
В ""браузере 2"" выполнена авторизация ""пользователя 2""";Изменение в опубликованный сниппет успешно внесены;Active;"1. Перейти на https://runit.hexlet.ru/profile/snippets ""в браузере 1""
2. Скопировать ссылку на сниппет
	2.1. Нажать кнопку “Поделиться” в блоке сниппета
	2.2. Во вкладке ссылка нажать кнопку “Скопировать ссылку”
3. Убедиться, что доступ к редактированию сниппета открыт // !функция не реализована на данный момент
	3.1. Нажать кнопку настройки в блоке сниппета ""...""
	3.2. В выпадающем списке выбрать ""настройки доступа""
	3.3. Кнопка ""опубликовать"" активна
	3.4. Флажок ""только чтение"" снят
4. Перейти по скопированной ссылке на  сниппет в ""браузере 2""
	4.1. Открыть  адресную строку ""браузера 2""
	4.2. Вставить скопированную ссылку
	4.3. Перейти по скопированной ссылке
5. Произвести любые изменения в коде сниппета
6. Открыть сниппет в ""браузере 1"" 
7. Убедиться в у спешном сохранении в изменении сниппета";;POSITIVE;;;;;ruslan.yakubov;;4.12. Возможность вносить изменения в опубликованный сниппет другим пользователем;04. Настройки сниппета,05. Редактор сниппета;
529;Возможность отключить комментарии к сниппету для других пользователей;;false;;"Наличие зарегистрированного аккаунта
Пользователь авторизован
Наличие сохраненного сниппета";Пользователь успешно отключил комментарии к сниппету для других пользователей;Draft;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Отключить комментарии к сниппету
	2.1. Нажать кнопку настройки в блоке сниппета ""...""
	2.2. В выпадающем списке выбрать ""настройки доступа""
	2.3. Снять флажок ""разрешить комментарии""
	2.4. Подтвердить действие кнопкой ""Сохранить""";;POSITIVE;;;;;ruslan.yakubov;;4.13. Возможность отключить комментарии к сниппету для других пользователей,Не реализовано;04. Настройки сниппета;
530;Возможность пользователю оставить комментарий в сниппете;;false;;"Наличие зарегистрированного аккаунта
Пользователь авторизован
Наличие сохраненного сниппета";Комментарий к сниппету успешно добавлен;Draft;"1. Перейти на https://runit.hexlet.ru/profile/snippets
2. Добавить комментарий к сниппету
	2.1. Нажать кнопку ""открыть"" в блоке сниппета 
	2.2. В блоке комментарий кликнуть в поле для текста
	2.3. Написать ""Test 123""
	2.4. Нажать на кнопку ""Сохранить""
3. Убедиться, что комментарий сохранен
	3.1. Выйти из редактора // ! не хватает специальной кнопки для выхода
	3.2. Открыть сниппет заново";;POSITIVE;;;;;ruslan.yakubov;;5.1. Возможность добавлять комментарий к сниппету,Не реализовано;05. Редактор сниппета;
531;Успешное оставление комментария к сниппету  другим пользователем;;false;;"Наличие двух зарегистрированных аккаунтов
""Пользователь 1"" авторизован в ""браузере 1""
Наличие сохраненного сниппета
В ""браузере 2"" выполнена авторизация ""пользователя 2""";Комментарий от другого пользователя успешно добавлен и отображается;Draft;"1. Перейти на https://runit.hexlet.ru/profile/snippets в ""браузере 1""
2. Скопировать ссылку на сниппет
	2.1. Нажать кнопку “Поделиться” в блоке сниппета
	2.2. Во вкладке ссылка нажать кнопку “Скопировать ссылку”
3. Убедиться, что доступ и комментарии к сниппету включены // !функция не реализована на данный момент
	3.1. Нажать кнопку настройки в блоке сниппета ""...""
	3.2. В выпадающем списке выбрать ""настройки доступа""
	3.3. Кнопка ""опубликовать"" активна
	3.4. Флажок «Разрешить комментарии» поставлен
4. Перейти по скопированной ссылке на сниппет в ""браузере 2""
	4.1. Открыть адресную строку ""браузера 2""
	4.2. Вставить скопированную ссылку
	4.3. Перейти по скопированной ссылке
5. Добавить комментарий к сниппету
	5.1. В блоке комментарий кликнуть в поле для текста
	5.2. Написать ""Test222""
	5.3. Нажать на кнопку ""Сохранить""
	5.4. Выйти из редактора сниппета 
6. Открыть сниппет в ""браузере 1""";;POSITIVE;;;;;ruslan.yakubov;;4.14. Возможность другим пользователям добавлять комментарий к сниппету,Не реализовано;04. Настройки сниппета,05. Редактор сниппета;
562;Успешная регистрация с данными, содержащими символы в верхнем регистре;;false;;Пользователь по данному email и паролю не зарегистрирован;Пользователь успешно зарегистрирован и перенаправлен на страницу своего профиля;Draft;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести корректный email  Ivanov22@kmail.tu
3. Ввести корректный логин Ivanov22
4. Ввести пароль Ivanov22
5. Нажать кнопку ""Регистрация""";;POSITIVE;;;;;irina.korobkina,ruslan.yakubov;;1.8. E-mail и пароль для регистрации пользователя могут использовать символы верхнего регистра;01. Регистрация;
563;Успешная регистрация с данными, содержащими спецсимволы;;false;;Пользователь по данному email и паролю не зарегистрирован;Пользователь успешно зарегистрирован и перенаправлен на страницу своего профиля;Draft;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести корректный email  Ivanov_22-23@kmail.tu
3. Ввести корректный логин Ivanov_22-23
4. Ввести пароль Ivanov_22%
5. Нажать кнопку ""Регистрация""";;POSITIVE;;;;;irina.korobkina,ruslan.yakubov;;1.9. E-mail и пароль для регистрации пользователя могут использовать спецсимволы;01. Регистрация;
564;Успешная авторизация с данными, содержащими символы в верхнем регистре;;false;;Зарегистрированный по email и паролю аккаунт;Пользователь успешно авторизован и перенаправлен на страницу своего профиля;Active;"1. Открыть https://runit.hexlet.ru/signin
2. Ввести email User_2023@tu.tu
3. Ввести пароль  12345678
4. Нажать кнопку ""Войти""";;POSITIVE;;;;;irina.korobkina,ruslan.yakubov;;2.8. E-mail и пароль пользователя могут содержать символы верхнего регистра;02. Авторизация;
565;Успешная авторизация с данными, содержащими спецсимволы;;false;;Зарегистрированный по email и паролю аккаунт;Пользователь успешно авторизован и перенаправлен на страницу своего профиля;Outdated;"1. Открыть https://runit.hexlet.ru/login
2. Ввести email  Ivanov_22-23@kmail.tu
3. Ввести пароль Ivanov_22%
4. Нажать кнопку ""Войти""";;POSITIVE;;;;;irina.korobkina,ruslan.yakubov;;2.9. Возможность авторизоваться по email и пароль со спецсимволами;02. Авторизация;
566;Успешное открытие раздела настроек профиля пользователя;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован";Открылось окно редактирования профиля;Active;"1. Открыть https://runit.hexlet.ru/profile/snippets
2. Нажать кнопку ""Настройки"" в разделе профиль
3. Нажать кнопку ""Редактировать профиль""";;POSITIVE;;;;;irina.korobkina,ruslan.yakubov;;3.2. Возможность открытия раздела настроек пользователя;03. Пользовательские настройки;
567;Успешное изменение адреса электронной почты;;false;;"Аккаунт авторизован";Адрес электронной почты изменился на новый и отображается корректно.;Active;"1. Открыть https://runit.hexlet.ru/profile/settings
2. Нажать кнопку ""Редактировать профиль"" 
3. Изменить адрес электронной почты на корректный Ivanov_22-23-24@kmail.tu
4. Нажать на кнопку ""Отправить"". (Нажать кнопку Enter)";;POSITIVE;;;;;irina.korobkina,ruslan.yakubov;;3.3. Возможность изменить адрес электронной почты пользователя;03. Пользовательские настройки;
569;Успешное изменение пароля;;false;;"Аккаунт авторизован
Test data: email: Ivanov22@mail.ru,  пароль: Ivanov22";"Пароль успешно изменен, пользователь успешно авторизован и перенаправлен на страницу своего профиля";Active;"1. Открыть https://runit.hexlet.ru/profile/settings
2. Нажать кнопку ""Сменить пароль"" 
3. Ввести в строку текущий пароль Ivanov22
4. Ввести в строку новый корректный пароль Ivanov_22-23
5. Подтвердите новый пароль Ivanov_22-23
6. Нажать на кнопку ""Отправить"". 
7. Выйти из аккаунта
8. Авторизоваться с новым паролем (адрес электронной почты Ivanov22@mail.ru, новый пароль Ivanov_22-23)";;POSITIVE;;;;;irina.korobkina,ruslan.yakubov;;3.5. Возможность изменить пароль профиля пользователя;03. Пользовательские настройки;
570;Успешное открытие раздела сниппетов из профиля;;false;;"Наличие зарегистрированного аккаунта
Аккаунт авторизован";Открылся и корректно отображается раздел для работы со сниппетами;Active;"1. Открыть https://runit.hexlet.ru/profile/settings
2. Нажать кнопку ""Сниппеты"" в разделе профиль";;POSITIVE;;;;;irina.korobkina,ruslan.yakubov;;3.6. Возможность перейти из раздела профиль в раздел сниппеты;03. Пользовательские настройки;
595;Успешный переход на вкладку профиля;;false;;;"Авторизованный пользователь перенаправлен на вкладку профиля.
Неавторизованный пользователь перенаправлен на страницу авторизации";Outdated;"1. Ввести в адресной строке браузера https://runit.hexlet.ru/profile
2. Перейти по ссылке";;POSITIVE;;;;;ruslan.yakubov;;2.10. Возможность перейти на вкладку профиля;02. Авторизация;
628;Неуспешная регистрация с занятым логином;;false;;Логин уже используется;Регистрация не происходит, отображается предупреждение "Это имя уже занято";Active;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести корректный email
3. Ввести занятый логин ""Ivanov22""
4. Ввести корректный пароль
5. Нажать ""Регистрация""";;NEGATIVE;;;;;ruslan.yakubov;;1.10. Невозможно зарегистрироваться с уже использующимся логином;01. Регистрация;
629;Проверка корректности отображения полей с предупреждением при регистрации с занятым логином;;false;;Наличие уже зарегистрированного аккаунта;Поля с требованиями формы регистрации отображаются и реагируют на изменения корректно, при изменении вводимых данных согласно требованиям, поля отображаются корректно (штатно);Active;"1. Открыть https://runit.hexlet.ru/signup

2. Ввести корректный email
3. Ввести занятый логин ""Ivanov22""
4. Ввести корректный пароль
5. Продублировать пароль в поле подтвердить пароль
6. Нажать ""Регистрация""
	6.1. Отображается предупреждение о том, что логин занят
7. Изменить логин на свободный";;NEGATIVE;;;;;ruslan.yakubov;;1.10. Поля с требованиями формы регистрации реагируют на изменения;01. Регистрация;
630;Проверка корректности отображения полей с предупреждением при регистрации с уже зарегистрированным email;;false;;Наличие уже зарегистрированного аккаунта по email;Поля с требованиями формы регистрации отображаются и реагируют на изменения корректно, при изменении вводимых данных согласно требованиям, поля отображаются корректно (штатно);Active;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести уже зарегистрированный email ""Ivanov22@mail.ru""
3. Ввести корректный логин
4. Ввести корректный пароль
5. Нажать ""Регистрация""
	5.1. Отображается предупреждение о том, что ""Этот адрес уже зарегистрирован""
6. Заменить email на корректный";;NEGATIVE;;;;;ruslan.yakubov;;1.10. Поля с требованиями формы регистрации реагируют на изменения;01. Регистрация;
661;Успешный запуск простого кода в редакторе;;false;;Акаун авторизован;Код в редакторе в в правом окне отображается корректно;Active;"1. Открыть https://runit.hexlet.ru/profile/snippets
2. Нажать ""новый сниппет""
3. Подтвердить предложенное имя
4. Ввести в редакторе 
""console.log('Hello, Hexlet.');
 console.log('Привет!');""
5. Нажать ""запустить""";;POSITIVE;;;;;ruslan.yakubov;;5.2. Успешный запуск кода в редакторе;05. Редактор сниппета;
