allure_id;name;full_name;automated;description;precondition;expected_result;status;scenario;issue;tag;link;example;parameter;Lead;Owner;Tutors;Feature;Suite
1192;Проверка регистрации с неверным Email, отсутствует часть домена, код страны;;false;При введении Email не дописан код страны в доменном имени;"Открыта страница регистрации
Тестовые данные:
Username = не проходивший регистрацию
Email = не проходивший регистрацию по шаблону %@% (например: user_2023@tu)
First Name = i
Last Name = i
Password = 12345678";"Пользователь НЕ зарегистрирован.
При нажатии на кнопку Зарегистрироваться появляется сообщение ""Неверный адрес Email""";Active;"1. Ввести Username
2. Ввести Email   
3. Подтвердить Email    
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1193;Проверка регистрации с несовпадением Пароля и его подтверждения;;false;При подтверждении пароля пропущена часть доменного имени;"Открыта страница регистрации
Username = Ilona
Email = user_2023@tu.tu
First Name = i
Last Name = i
Password = 12345678";"Пользователь НЕ зарегистрирован. 
Сообщение ""Электронная почта и подтверждение должны совпадать""";Active;"1. Ввести Username
2. Ввести Email
3. Подтвердить Email
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль ""12345678""
7. Подтвердить Пароль ""12345679""
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1194;Проверка регистрации с несовпадением Пароля и подтверждения в разных регистрах;;false;При подтверждении адреса электронной почты, если она введена с большой буквы или с буквами в разных регистрах.;"Открыта страница регистрации
Username = Ilona4
Email = test1@tu.tu
First Name = i
Last Name = i
Password = 12345678";Пользователь успешно зарегистрирован.;Active;"1. Ввести Username
2. Ввести Email     ""test1@tu.tu""
3. Подтвердить Email ""Test1@tu.tu""
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1195;Проверка регистрации с пустым Username;;false;;"Открыта страница регистрации
Username = 
Email = user_2023@tu.tu
First Name = i
Last Name = i
Password = 12345678";"Пользователь НЕ зарегистрирован.
Сообщение ""Не может быть пустым""";Active;"1. Ввести Username   (пустой)
2. Ввести Email
3. Подтвердить Email
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1196;Проверка регистрации с Username более 20 символов;;false;;"Открыта страница регистрации
Username = Ilona1234567891234567
Email = user_2023@tu.tu
First Name = i
Last Name = i
Password = 12345678";Пользователь НЕ зарегистрирован;Active;"1. Ввести Username
2. Ввести Email
3. Подтвердить Email
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1197;Проверка регистрации с Username в кириллице;;false;;"Открыта страница регистрации
Username = Илона
Email = user_2023@tu.tu
First Name = i
Last Name = i
Password = 12345678";Пользователь НЕ зарегистрирован;Active;"1. Ввести Username  ""Илона""
2. Ввести Email
3. Подтвердить Email
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1198;Проверка регистрации с Username уже зарегистрированном;;false;;"Открыта страница регистрации
Username = Ilona
Email = user@tu.tu
First Name = i
Last Name = i
Password = 12345678";Пользователь НЕ зарегистрирован;Active;"1. Ввести Username 
2. Ввести Email
3. Подтвердить Email
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1199;Проверка регистрации с пустым полем First Name;;false;;"Открыта страница регистрации
Username = Ilona
Email = user_2023@tu.tu
First Name = 
Last Name = i
Password = 12345678";Пользователь НЕ зарегистрирован;Active;"1. Ввести Username
2. Ввести Email
3. Подтвердить Email
4. Ввести First Name/Имя  (поле пустое оставляем)
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1200;Проверка регистрации с пустым полем Last Name;;false;;"Открыта страница регистрации
Username = Ilona
Email = user_2023@tu.tu
First Name = i
Last Name = 
Password = 12345678";Пользователь НЕ зарегистрирован;Active;"1. Ввести Username
2. Ввести Email
3. Подтвердить Email
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию  (поле оставляем пустым)
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1201;Проверка регистрации с Паролем менее 8 символов;;false;;"Открыта страница регистрации
Username = Ilona
Email = user_2023@tu.tu
First Name = i
Last Name = i
Password = 123456";Пользователь НЕ зарегистрирован;Active;"1. Ввести Username
2. Ввести Email
3. Подтвердить Email
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль ""123456""
7. Подтвердить Пароль  ""123456""
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1222;Проверка изменение адреса электронной почты;;false;Адрес Email можно поменять уже у зарегистрированного пользователя;"Тестовые данные для авторизации:
Username = ilona
Password = 12345678
Пользователь авторизован. 
Открыта вкладка ""Account Info""
Нажата кнопка ""Edit""";Email  успешно изменен.;Active;"1. В поле Email ввести новый адрес (он не должен быть зарегистрирован в приложении)
2. Подтвердить Email
3. Нажать кнопку ""Save""";;positive;;;;;i.korobkina;;;03. Редактирование профиля пользователя
1223;Проверка открытия профиля пользователя;;false;При нажатии на вкладку "Account Info" открывается страница с данными пользователя;"Тестовые данные для авторизации:
Username = ilona
Password = 12345678
Пользователь авторизован.";Успешное открытие страницы с данными регистрации пользователя.;Active;"1. Нажать на вкладку ""Account Info""";;positive;;;;;i.korobkina;;;03. Редактирование профиля пользователя
1224;Проверка открытия окна редактирования данных пользователя;;false;При нажатии на кнопку "Edit" данные пользователя становятся доступны для редактирования;"Тестовые данные для авторизации:
Username = ilona
Password = 12345678
Пользователь авторизован.
Открыта вкладка ""Account Info""";Успешно открывается окно редактирования данных пользователя;Active;"1. Нажать кнопку ""Edit""";;positive;;;;;i.korobkina;;;03. Редактирование профиля пользователя
1225;Проверка изменения Email на уже зарегистрированный;;false;При изменении Email на уже зарегистрированный, выводится оповещение и Email не изменяется.;"Пользователь авторизован.
Открыта вкладка ""Account Info""
Нажата кнопка ""Edit""
Тестовый зарегистрированный Email: 
Email = user_2023@tu.tu";"Email не изменится.
Оповещение, что такой уже существует.";Active;"1. В поле Email, ввести тестовый Email
2. В поле Confirm Email  ввести повторно тестовый  Email 
3. Нажать кнопку Save";;NEGATIVE;;;;;i.korobkina;;;03. Редактирование профиля пользователя
1226;Проверка совпадения Email и его подтверждения;;false;При несовпадении Email  и его подтверждение появляется сообщение об этом.;"Пользователь авторизован.
Открыта вкладка ""Account Info""
Нажата кнопка ""Edit""
Тестовый зарегистрированный Email:
Email = user_2023@tu.tu";Email не изменен. Появилось оповещение о несовпадении.;Active;"1. В поле Email, вводим тестовый Email
2. Поле Confirm Email  пропускаем
3. Нажать кнопку Save";;NEGATIVE;;;;;i.korobkina;;;03. Редактирование профиля пользователя
1227;Проверка изменения имени и фамилии пользователя в профиле;;false;Имя и фамилию уже зарегистрированного пользователя можно успешно изменить.;"Тестовые данные для авторизации:
Username = ilona
Password = 12345678
Пользователь авторизован
Во вкладке ""Account Info"" нажата кнопка ""Edit""";Имя и Фамилия успешно изменены;Active;"1. В поле First Name изменяем Имя
2. В поле Last Name изменяем Фамилию 
3. В поле Confirm Email подтвердить Email
4. Нажать кнопку ""Save""";;positive;;;;;i.korobkina;;;03. Редактирование профиля пользователя
1228;Проверка изменения Username пользователя в профиле;;false;В профиле зарегистрированного пользователя можно поменять Username на тот, что не был раньше зарегистрирован;"Пользователь авторизован.
Открыта вкладка ""Account Info""
Нажата кнопка ""Edit""";Username успешно изменен;Active;"1. В поле Username  ввести новое значение
2. В поле Confirm Email  ввести повторно Email для подтверждения
3. Нажать кнопку Save";;positive;;;;;i.korobkina;;;03. Редактирование профиля пользователя
